"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"74","Footscray","8 McCubbin St",3,"h",910000,"S","Village","6/08/2016",6.4,3011,3,1,1,361,118,1940,"Maribyrnong",-37.7913,144.8879,"Western Metropolitan",7570
"81","Footscray","95 Gordon St",3,"h",780000,"S","Jas","14/05/2016",6.4,3011,3,1,2,323,129,1900,"Maribyrnong",-37.7935,144.8893,"Western Metropolitan",7570
"159","Maribyrnong","329 Gordon St",4,"h",770000,"SP","Jas","26/07/2016",8.7,3032,4,2,2,215,231,2000,"Maribyrnong",-37.7817,144.8916,"Western Metropolitan",4918
"99","Footscray","12 Tait St",4,"h",815000,"PI","Biggin","28/05/2016",6.4,3011,4,2,1,369,151,1910,"Maribyrnong",-37.7914,144.8957,"Western Metropolitan",7570
"77","Footscray","3 Park St",4,"h",775000,"S","Sweeney","8/10/2016",6.4,3011,2,1,2,277,87,1890,"Maribyrnong",-37.7901,144.8883,"Western Metropolitan",7570
"229","Newport","87 Schutt St",3,"h",9e+05,"SP","Greg","30/07/2016",8.4,3015,3,2,2,360,168,2013,"Hobsons Bay",-37.835,144.8814,"Western Metropolitan",5498
"110","Heidelberg West","29 Morotai Pde",4,"h",758000,"S","Miles","17/09/2016",9.4,3081,4,1,1,632,152,1955,"Banyule",-37.7466,145.0428,"Eastern Metropolitan",2674
"244","Seddon","22 Alfred St",3,"h",1080000,"VB","Village","18/03/2017",6.6,3011,3,1,0,234,111,1900,"Maribyrnong",-37.8051,144.8858,"Western Metropolitan",2417
"94","Footscray","65 Hyde St",3,"h",740000,"SP","Jas","25/02/2017",6.4,3011,3,1,1,211,94,1910,"Maribyrnong",-37.8059,144.901,"Western Metropolitan",7570
"368","West Footscray","86 Ashley St",4,"h",850000,"S","Sweeney","4/06/2016",8.2,3012,4,2,2,497,179,1980,"Maribyrnong",-37.7903,144.8639,"Western Metropolitan",5058
"262","Spotswood","4 Steel St",3,"h",690000,"S","Biggin","27/06/2016",7.7,3015,4,1,2,532,518,1965,"Hobsons Bay",-37.8248,144.8717,"Western Metropolitan",1223
"296","Yarraville","7/87 Gamon St",3,"h",770000,"VB","Jas","3/12/2016",7,3013,3,1,2,323,139,1960,"Maribyrnong",-37.8108,144.8899,"Western Metropolitan",6543
"141","Maidstone","45 Radio St",3,"h",695000,"S","Burnham","15/10/2016",9.2,3012,3,1,2,214,146,2007,"Maribyrnong",-37.7798,144.8661,"Western Metropolitan",3873
"196","Newport","4/31 Clyde St",3,"h",655800,"S","Greg","6/08/2016",8.4,3015,2,2,1,178,102,2009,"Hobsons Bay",-37.8416,144.8651,"Western Metropolitan",5498
"9","Ascot Vale","63 Kent St",2,"h",751000,"PI","Nelson","7/05/2016",5.9,3032,2,1,1,118,79,1890,"Moonee Valley",-37.7807,144.9288,"Western Metropolitan",6567
"144","Maidstone","171 Mitchell St",4,"h",675000,"S","Sweeney","28/05/2016",9.2,3012,4,1,1,595,80,1950,"Maribyrnong",-37.7817,144.868,"Western Metropolitan",3873
"507","Moonee Ponds","39 Taylor St",3,"h",1225000,"VB","Jellis","12/08/2017",6.2,3039,3,2,2,674,141,1920,"Moonee Valley",-37.76389,144.9185,"Western Metropolitan",6232
"458","Ivanhoe","1/12 Thoresby Gr",3,"h",1300000,"PI","Nelson","3/06/2017",7.8,3079,3,2,2,334,128,2005,"Banyule",-37.76538,145.04964,"Eastern Metropolitan",5549
"11","Ascot Vale","41 Monash St",3,"h",1230000,"S","Nelson","8/10/2016",5.9,3032,4,1,2,594,148,1960,"Moonee Valley",-37.7819,144.9064,"Western Metropolitan",6567
"363","Kingsville","57 Wales St",3,"h",925000,"SP","Village","24/09/2016",7.8,3012,3,1,1,275,100,1920,"Maribyrnong",-37.8085,144.8802,"Western Metropolitan",1808
"295","Yarraville","83 Tarrengower St",3,"h",1165000,"S","Village","3/09/2016",7,3013,3,1,0,191,105,1910,"Maribyrnong",-37.8175,144.8879,"Western Metropolitan",6543
"214","Newport","106 Johnston St",4,"h",1265000,"S","RT","18/06/2016",8.4,3015,5,2,2,774,185,1950,"Hobsons Bay",-37.8366,144.8758,"Western Metropolitan",5498
"124","Ivanhoe","19 Myrtle St",4,"h",1470000,"VB","Miles","15/10/2016",7.9,3079,4,2,1,694,217,1950,"Banyule",-37.7565,145.0506,"Eastern Metropolitan",5549
"45","Essendon","242 Buckley St",3,"h",1100000,"VB","Nelson","4/06/2016",8,3040,3,2,1,789,257,1890,"Moonee Valley",-37.7558,144.9073,"Western Metropolitan",9264
"406","Kingsville","100 Coronation St",4,"h",1205000,"S","hockingstuart","20/05/2017",7.8,3012,4,1,1,318,145,1960,"Maribyrnong",-37.8105,144.8803,"Western Metropolitan",1808
"182","Moonee Ponds","4 Lennox St",3,"h",840000,"VB","Nelson","15/10/2016",6.9,3039,3,1,0,307,136,1910,"Moonee Valley",-37.7704,144.9083,"Western Metropolitan",6232
"158","Maribyrnong","9 Lyric St",4,"h",1117000,"S","Sweeney","25/02/2017",8.7,3032,4,3,2,325,207,2005,"Maribyrnong",-37.7822,144.8922,"Western Metropolitan",4918
"84","Footscray","88 Eleanor St",3,"h",775000,"SP","Sweeney","16/07/2016",6.4,3011,3,1,1,242,99,1920,"Maribyrnong",-37.7956,144.8848,"Western Metropolitan",7570
"173","Moonee Ponds","101 Holmes Rd",4,"h",1120000,"VB","Nelson","8/10/2016",6.9,3039,4,1,1,571,138,1915,"Moonee Valley",-37.7659,144.9116,"Western Metropolitan",6232
"231","Seddon","14 Pole St",3,"h",970000,"S","Jas","3/12/2016",6.6,3011,3,1,0,137,98,1890,"Maribyrnong",-37.8078,144.8972,"Western Metropolitan",2417
"364","Kingsville","22 Coronation St",4,"h",1336000,"S","Jas","26/07/2016",7.8,3012,3,2,1,343,109,1920,"Maribyrnong",-37.8066,144.8811,"Western Metropolitan",1808
"169","Moonee Ponds","14 Scotia St",4,"h",1225000,"SP","Nelson","4/03/2017",6.9,3039,4,1,1,388,120,1920,"Moonee Valley",-37.7692,144.9057,"Western Metropolitan",6232
